Date,Match,HomeTeam,AwayTeam,FTHG,FTAG
2025-05-24 00:00:00.000000,GAIS 2-1 Sirius,GAIS,Sirius,2,1
2025-05-25 00:00:00.000000,Goteborg 1-0 Malmo FF,Goteborg,Malmo FF,1,0
2025-05-25 00:00:00.000000,Halmstad 1-4 Elfsborg,Halmstad,Elfsborg,1,4
2025-05-25 00:00:00.000000,Brommapojkarna 0-1 AIK,Brommapojkarna,AIK,0,1
2025-05-25 00:00:00.000000,Djurgarden 1-1 Hacken,Djurgarden,Hacken,1,1
2025-05-26 00:00:00.000000,Norrkoping 1-1 Mjallby,Norrkoping,Mjallby,1,1
2025-05-26 00:00:00.000000,Hammarby 1-0 Degerfors,Hammarby,Degerfors,1,0
2025-05-29 00:00:00.000000,Brommapojkarna 0-1 Djurgarden,Brommapojkarna,Djurgarden,0,1
2025-05-31 00:00:00.000000,Degerfors 1-2 Oster,Degerfors,Oster,1,2
2025-05-31 00:00:00.000000,Elfsborg 0-2 Hammarby,Elfsborg,Hammarby,0,2
2025-05-31 00:00:00.000000,Norrkoping 0-3 GAIS,Norrkoping,GAIS,0,3
2025-06-01 00:00:00.000000,Brommapojkarna 1-3 Goteborg,Brommapojkarna,Goteborg,1,3
2025-06-01 00:00:00.000000,Halmstad 1-0 Djurgarden,Halmstad,Djurgarden,1,0
2025-06-01 00:00:00.000000,Malmo FF 3-0 Hacken,Malmo FF,Hacken,3,0
2025-06-01 00:00:00.000000,Mjallby 2-0 Varnamo,Mjallby,Varnamo,2,0
2025-06-01 00:00:00.000000,Sirius 3-1 AIK,Sirius,AIK,3,1
2025-06-28 00:00:00.000000,Hammarby 2-0 Halmstad,Hammarby,Halmstad,2,0
2025-06-28 00:00:00.000000,Oster 2-2 Sirius,Oster,Sirius,2,2
2025-06-29 00:00:00.000000,AIK 3-0 Goteborg,AIK,Goteborg,3,0
2025-06-29 00:00:00.000000,Degerfors 0-3 Brommapojkarna,Degerfors,Brommapojkarna,0,3
2025-06-29 00:00:00.000000,Hacken 1-3 GAIS,Hacken,GAIS,1,3
2025-06-29 00:00:00.000000,Varnamo 0-0 Elfsborg,Varnamo,Elfsborg,0,0
2025-06-30 00:00:00.000000,Djurgarden 1-1 Norrkoping,Djurgarden,Norrkoping,1,1
2025-06-30 00:00:00.000000,Mjallby 1-1 Malmo FF,Mjallby,Malmo FF,1,1
2025-07-05 00:00:00.000000,GAIS 0-0 Malmo FF,GAIS,Malmo FF,0,0
2025-07-05 00:00:00.000000,Oster 0-1 Mjallby,Oster,Mjallby,0,1
2025-07-05 00:00:00.000000,Hammarby 1-0 Varnamo,Hammarby,Varnamo,1,0
2025-07-06 00:00:00.000000,Goteborg 3-1 Sirius,Goteborg,Sirius,3,1
2025-07-06 00:00:00.000000,Halmstad 2-0 AIK,Halmstad,AIK,2,0
2025-07-06 00:00:00.000000,Djurgarden 5-1 Degerfors,Djurgarden,Degerfors,5,1
2025-07-06 00:00:00.000000,Elfsborg 0-2 Hacken,Elfsborg,Hacken,0,2
2025-07-07 00:00:00.000000,Norrkoping 0-1 Brommapojkarna,Norrkoping,Brommapojkarna,0,1
2025-07-12 00:00:00.000000,Goteborg 1-2 Elfsborg,Goteborg,Elfsborg,1,2
2025-07-12 00:00:00.000000,Malmo FF 3-1 Norrkoping,Malmo FF,Norrkoping,3,1
2025-07-13 00:00:00.000000,Brommapojkarna 2-0 Oster,Brommapojkarna,Oster,2,0
2025-07-13 00:00:00.000000,GAIS 3-2 Hammarby,GAIS,Hammarby,3,2
2025-07-13 00:00:00.000000,AIK 3-0 Degerfors,AIK,Degerfors,3,0
2025-07-13 00:00:00.000000,Varnamo 1-0 Djurgarden,Varnamo,Djurgarden,1,0
2025-07-13 00:00:00.000000,Hacken 4-1 Halmstad,Hacken,Halmstad,4,1
2025-07-14 00:00:00.000000,Sirius 1-2 Mjallby,Sirius,Mjallby,1,2
2025-07-27 14:13:59.450547,AIK - Djurgarden,AIK,Djurgarden,,
2025-07-30 14:13:59.450547,Djurgarden - AIK,Djurgarden,AIK,,
