Date,HomeTeam,AwayTeam,FTHG,FTAG
2023-10-07,Halmstad,Degerfors,0,0
2023-10-07,Goteborg,Sirius,0,1
2023-10-08,Brommapojkarna,Elfsborg,0,3
2023-10-08,Kalmar,Malmo FF,1,0
2023-10-08,Varnamo,Norrkoping,2,1
2023-10-08,Hammarby,Hacken,2,2
2023-10-08,Varberg,Djurgarden,0,1
2023-10-21,Degerfors,Kalmar,1,3
2023-10-21,Sirius,Brommapojkarna,3,2
2023-10-22,Djurgarden,Hammarby,0,0
2023-10-22,Halmstad,Mjallby,1,1
2023-10-22,Hacken,Norrkoping,4,1
2023-10-22,Malmo FF,Varberg,5,0
2023-10-23,Varnamo,Goteborg,3,1
2023-10-23,Elfsborg,AIK,3,0
2023-10-28,Brommapojkarna,Djurgarden,1,2
2023-10-28,Varberg,Degerfors,1,1
2023-10-29,Kalmar,Varnamo,1,3
2023-10-29,Mjallby,Hacken,2,1
2023-10-29,Norrkoping,Malmo FF,0,1
2023-10-29,AIK,Halmstad,1,1
2023-10-30,Hammarby,Sirius,2,2
2023-10-30,Goteborg,Elfsborg,1,2
2023-11-04,Varnamo,Hammarby,0,0
2023-11-04,Djurgarden,Sirius,2,4
2023-11-05,Hacken,Malmo FF,4,2
2023-11-05,Halmstad,Kalmar,3,0
2023-11-05,Elfsborg,Degerfors,2,2
2023-11-05,Mjallby,Brommapojkarna,1,2
2023-11-06,Norrkoping,Varberg,4,3
2023-11-06,Goteborg,AIK,1,1
2023-11-12,AIK,Varnamo,3,1
2023-11-12,Brommapojkarna,Hacken,2,1
2023-11-12,Degerfors,Mjallby,1,2
2023-11-12,Hammarby,Halmstad,2,2
2023-11-12,Kalmar,Djurgarden,2,1
2023-11-12,Malmo FF,Elfsborg,1,0
2023-11-12,Sirius,Norrkoping,2,0
2023-11-12,Varberg,Goteborg,1,2
2024-03-30,Norrkoping,Malmo FF,1,5
2024-03-31,GAIS,Brommapojkarna,0,4
2024-03-31,Hammarby,Kalmar,3,1
2024-03-31,Hacken,Mjallby,0,1
2024-04-01,Goteborg,Djurgarden,1,4
2024-04-01,Sirius,Halmstad,3,0
2024-04-01,AIK,Vasteras SK,1,0
2024-04-01,Elfsborg,Varnamo,2,2
2024-04-06,Brommapojkarna,AIK,2,2
2024-04-06,Mjallby,Norrkoping,3,0
